,Postcode,Borough,Neighbourhood
0,M9V,Etobicoke,"Beaumond Heights, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown"
1,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights"
2,M3A,North York,Parkwoods
3,M1L,Scarborough,"Clairlea, Golden Mile, Oakridge"
4,M6S,West Toronto,"Runnymede, Swansea"
5,M6L,North York,Maple Leaf Park
6,M2M,North York,"Newtonbrook, Willowdale"
7,M8V,Etobicoke,New Toronto
8,M8Y,Etobicoke,"Humber Bay, King's Mill Park, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea"
9,M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market"
10,M5C,Downtown Toronto,St. James Town
11,M9N,York,Weston
12,M4V,Central Toronto,"Deer Park, Rathnelly, South Hill"
13,M1H,Scarborough,Cedarbrae
14,M5S,Downtown Toronto,University of Toronto
15,M2L,North York,"Silver Hills, York Mills"
16,M4L,East Toronto,India Bazaar
17,M1V,Scarborough,"Agincourt North, Milliken"
18,M6B,North York,Glencairn
19,M1M,Scarborough,"Cliffcrest, Cliffside"
20,M6M,York,"Keelesdale, Mount Dennis, Silverthorn"
21,M5P,Central Toronto,Forest Hill North
22,M2R,North York,Willowdale West
23,M1X,Scarborough,Upper Rouge
24,M4Y,Downtown Toronto,Church and Wellesley
25,M9C,Etobicoke,Markland Wood
26,M9B,Etobicoke,"Islington, Princess Gardens, West Deane Park"
27,M4E,East Toronto,The Beaches
28,M4K,East Toronto,Riverdale
29,M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre"
30,M8X,Etobicoke,The Kingsway
31,M5X,Downtown Toronto,"First Canadian Place, Underground city"
32,M1R,Scarborough,"Maryvale, Wexford"
33,M1T,Scarborough,Tam O'Shanter
34,M1K,Scarborough,"Ionview, Kennedy Park"
35,M6R,West Toronto,"Parkdale, Roncesvalles"
36,M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union"
37,M4N,Central Toronto,Lawrence Park
38,M5J,Downtown Toronto,"Toronto Islands, Union Station"
39,M4G,East York,Leaside
40,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor"
41,M4X,Downtown Toronto,"Cabbagetown, St. James Town"
42,M1B,Scarborough,"Rouge, Malvern"
43,M2K,North York,Bayview Village
44,M9A,Etobicoke,Islington Avenue
45,M4W,Downtown Toronto,Rosedale
46,M1E,Scarborough,"Morningside, West Hill"
47,M6K,West Toronto,"Exhibition Place, Parkdale Village"
48,M6J,West Toronto,"Little Portugal, Trinity"
49,M3J,North York,"Northwood Park, York University"
50,M4B,East York,"Woodbine Gardens, Parkview Hill"
51,M4T,Central Toronto,Moore Park
52,M9M,North York,"Emery, Humberlea"
53,M6P,West Toronto,High Park
54,M2J,North York,Henry Farm
55,M3L,North York,Downsview West
56,M9R,Etobicoke,Kingsview Village
57,M8W,Etobicoke,"Alderwood, Long Branch"
58,M5R,Central Toronto,"The Annex, Yorkville"
59,M4C,East York,Woodbine Heights
60,M5B,Downtown Toronto,Ryerson
61,M5A,Downtown Toronto,"Harbourfront, Regent Park"
62,M2H,North York,Hillcrest Village
63,M4A,North York,Victoria Village
64,M1S,Scarborough,Agincourt
65,M9W,Etobicoke,Northwest
66,M6H,West Toronto,Dovercourt Village
67,M3C,North York,Flemingdon Park
68,M3H,North York,"Bathurst Manor, Wilson Heights"
69,M1J,Scarborough,Scarborough Village
70,M9L,North York,Humber Summit
71,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, South Niagara"
72,M5E,Downtown Toronto,Berczy Park
73,M3K,North York,CFB Toronto
74,M1G,Scarborough,Woburn
75,M1N,Scarborough,Birch Cliff
76,M5L,Downtown Toronto,Commerce Court
77,M5M,North York,Bedford Park
78,M4H,East York,Thorncliffe Park
79,M9P,Etobicoke,Westmount
80,M5H,Downtown Toronto,"Adelaide, King"
81,M1W,Scarborough,Steeles West
82,M4J,East York,East Toronto
83,M6A,North York,"Lawrence Heights, Lawrence Manor"
